age,CL1,CL2,CL3,CL4,CL5,CL6
0,0.000867,0.00062,0.00062,0.000455,0.000566,0.000453
1,0.000615,0.000456,0.000465,0.000324,0.000386,0.000289
2,0.000445,0.000337,0.000353,0.000236,0.000268,0.000184
3,0.000339,0.000256,0.000278,0.00018,0.000196,0.000124
4,0.00028,0.000203,0.000229,0.000149,0.000158,0.000095
5,0.000251,0.00017,0.0002,0.000131,0.000141,0.000084
6,0.000237,0.000149,0.000182,0.000119,0.000132,0.000078
7,0.000233,0.000137,0.000172,0.00011,0.000129,0.000074
8,0.000238,0.000133,0.000171,0.000105,0.000131,0.000072
9,0.00025,0.000136,0.000177,0.000103,0.000137,0.000072
10,0.000269,0.000145,0.000187,0.000103,0.000146,0.000074
11,0.000293,0.000157,0.000202,0.000105,0.000157,0.000077
12,0.000319,0.000172,0.00022,0.000109,0.00017,0.00008
13,0.000347,0.000189,0.00024,0.000115,0.000184,0.000085
14,0.000375,0.000206,0.000261,0.000121,0.000197,0.00009
15,0.000402,0.000221,0.00028,0.000128,0.000208,0.000095
16,0.000427,0.000234,0.000298,0.000135,0.000219,0.0001
17,0.000449,0.000245,0.000315,0.000141,0.000227,0.000105
18,0.000469,0.000255,0.000331,0.000149,0.000235,0.00011
19,0.000489,0.000262,0.000346,0.000156,0.000241,0.000115
20,0.000508,0.000269,0.000361,0.000163,0.000248,0.00012
21,0.000527,0.000274,0.000376,0.00017,0.000256,0.000125
22,0.000547,0.000279,0.000392,0.000178,0.000264,0.000129
23,0.000568,0.000284,0.000409,0.000185,0.000273,0.000134
24,0.000591,0.000289,0.000428,0.000192,0.000284,0.000139
25,0.000615,0.000294,0.000448,0.0002,0.000297,0.000144
26,0.000644,0.0003,0.000471,0.000208,0.000314,0.000149
27,0.000675,0.000307,0.000497,0.000216,0.000333,0.000154
28,0.000711,0.000316,0.000526,0.000225,0.000354,0.00016
29,0.000751,0.000327,0.000558,0.000235,0.000379,0.000167
30,0.000797,0.00034,0.000595,0.000247,0.000407,0.000175
31,0.000847,0.000356,0.000635,0.000261,0.000438,0.000186
32,0.000903,0.000374,0.000681,0.000277,0.000472,0.000198
33,0.000966,0.000397,0.000732,0.000297,0.000509,0.000213
34,0.001035,0.000423,0.000788,0.000319,0.000549,0.000231
35,0.001111,0.000454,0.00085,0.000346,0.000592,0.000253
36,0.001196,0.000489,0.000919,0.000376,0.000639,0.000277
37,0.00129,0.00053,0.000995,0.000411,0.00069,0.000305
38,0.001395,0.000577,0.001078,0.00045,0.000746,0.000337
39,0.001515,0.000631,0.00117,0.000494,0.000808,0.000372
40,0.001651,0.000692,0.00127,0.000542,0.000878,0.00041
41,0.001804,0.000762,0.00138,0.000595,0.000955,0.00045
42,0.001978,0.000841,0.0015,0.000653,0.001041,0.000494
43,0.002173,0.000929,0.001631,0.000715,0.001138,0.00054
44,0.002393,0.001028,0.001774,0.000783,0.001245,0.000589
45,0.002639,0.001137,0.001929,0.000857,0.001364,0.00064
46,0.002913,0.001259,0.002096,0.000935,0.001496,0.000693
47,0.003213,0.001392,0.002277,0.00102,0.001641,0.00075
48,0.003538,0.001537,0.002472,0.001112,0.001798,0.000811
49,0.003884,0.001692,0.002682,0.001212,0.001967,0.000877
50,0.004249,0.001859,0.002908,0.001321,0.002148,0.00095
51,0.004633,0.002037,0.00315,0.001439,0.00234,0.001031
52,0.005032,0.002226,0.003409,0.001568,0.002544,0.00112
53,0.005445,0.002424,0.003686,0.001709,0.002759,0.001219
54,0.005869,0.002634,0.003982,0.001861,0.002985,0.001329
55,0.006302,0.002853,0.004297,0.002027,0.003221,0.00145
56,0.006747,0.003085,0.004636,0.002208,0.003469,0.001585
57,0.007227,0.003342,0.004999,0.002403,0.003731,0.001736
58,0.00777,0.003638,0.005389,0.002613,0.004014,0.001905
59,0.008403,0.00399,0.005807,0.00284,0.004323,0.002097
60,0.009161,0.004414,0.006258,0.003088,0.00466,0.002315
61,0.010065,0.004923,0.006742,0.003366,0.005034,0.002561
62,0.011129,0.005529,0.007261,0.003684,0.005448,0.002836
63,0.01236,0.006244,0.007815,0.004055,0.005909,0.003137
64,0.013771,0.007078,0.008405,0.004495,0.006422,0.003468
65,0.015379,0.008045,0.009039,0.005016,0.006988,0.003835
66,0.017212,0.009165,0.009738,0.005626,0.00761,0.004254
67,0.019304,0.01046,0.010538,0.006326,0.008292,0.00474
68,0.021691,0.011955,0.011496,0.007115,0.009046,0.005302
69,0.024411,0.013674,0.012686,0.008,0.009897,0.005943
70,0.027495,0.015643,0.014192,0.009007,0.010888,0.00666
71,0.030965,0.017887,0.016106,0.010185,0.01208,0.00746
72,0.034832,0.020432,0.018517,0.011606,0.01355,0.008369
73,0.039105,0.023303,0.02151,0.013353,0.015387,0.009436
74,0.043796,0.026528,0.025151,0.015508,0.017686,0.01073
75,0.048921,0.030137,0.02949,0.018134,0.020539,0.012332
76,0.054506,0.034165,0.034545,0.021268,0.024017,0.014315
77,0.060586,0.038653,0.04031,0.024916,0.028162,0.016734
78,0.067202,0.043648,0.046747,0.029062,0.032978,0.019619
79,0.0744,0.049205,0.053801,0.033674,0.038437,0.022971
80,0.08222,0.055385,0.061403,0.038718,0.044492,0.02677
81,0.0907,0.062254,0.069485,0.04416,0.051086,0.030989
82,0.099868,0.06988,0.077987,0.049977,0.058173,0.035598
83,0.109754,0.07832,0.086872,0.056157,0.065722,0.040576
84,0.120388,0.087611,0.09613,0.062695,0.073729,0.045915
85,0.131817,0.097754,0.105786,0.069596,0.082223,0.051616
86,0.144105,0.108704,0.1159,0.076863,0.091239,0.057646
87,0.157334,0.120371,0.126569,0.084501,0.1009,0.064084
88,0.171609,0.132638,0.137917,0.092504,0.111321,0.070942
89,0.187046,0.145395,0.150089,0.100864,0.122608,0.078241
90,0.203765,0.158572,0.163239,0.109567,0.13487,0.086003
91,0.221873,0.172172,0.177519,0.118605,0.148212,0.094249
92,0.241451,0.186294,0.193067,0.127985,0.162742,0.103002
93,0.262539,0.201129,0.209999,0.137743,0.178566,0.112281
94,0.285129,0.21694,0.228394,0.147962,0.195793,0.122109
95,0.30916,0.234026,0.248299,0.158777,0.214499,0.13254
96,0.334529,0.252673,0.269718,0.17038,0.23465,0.143757
97,0.361101,0.273112,0.292621,0.18302,0.25618,0.155979
98,0.388727,0.295478,0.316951,0.196986,0.279025,0.169421
99,0.417257,0.319794,0.342628,0.212604,0.30312,0.184301
100,0.446544,0.345975,0.369561,0.230215,0.328401,0.200836
101,0.476447,0.373856,0.397652,0.250172,0.354803,0.219242
102,0.50683,0.403221,0.426801,0.272831,0.382261,0.239737
103,0.537558,0.433833,0.456906,0.298551,0.41071,0.262537
104,0.568497,0.465447,0.487867,0.327687,0.440086,0.287859
105,1,1,1,1,1,1
